attention,baseline_cosine_similarity,baseline_host_prepare_submit_ms,baseline_max_abs_error,baseline_max_rel_error,baseline_mean_abs_error,baseline_nonfinite_count,baseline_sha256,baseline_vs_reference,batch_size,benchmark_base,block_table_stride,block_table_width,cache_layout,candidate_cosine_similarity,candidate_host_prepare_submit_ms,candidate_max_abs_error,candidate_max_rel_error,candidate_mean_abs_error,candidate_nonfinite_count,candidate_sha256,candidate_vs_baseline,candidate_vs_reference,cann_version,case,causal,device,device_index,device_name,dp_size,draft_width,dtype,family,gqa_interleave,head_dim,kv_cache_stride,kv_length,layout,length_pattern,m,max_kv_len_hint,max_q_len,min_runtime_kv_length,num_cube_cores,num_kv_heads,num_q_heads,num_vector_cores,page_size,pair_cosine_similarity,pair_max_abs_error,pair_max_rel_error,pair_mean_abs_error,pair_nonfinite_count,physical_pages,python_version,q_head_scale,q_stride,record_type,reference_checked_rows,runtime_kv_lens,runtime_q_lens,schema_version,seed,sink_dtype,softmax_scale,status,swa_left_window,topology,torch_npu_version,torch_version,triton_version,workload_id,workspace_commit
full,0.9999980926513672,0.0,0.0009765625,3.607329845428467,3.4050317481160164e-05,0.0,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",True,1,f61e69339a0d3c4a3aa9f9c60d3ea84bc7687379,"[64, 1]",64,native_NHD_then_page_head_token_dim_permute,0.9999980926513672,0.0,0.0009765625,3.607329845428467,3.4050317481160164e-05,0.0,"{'prefill': '3411d251e95d1cb4024969df9f5a7ce0bb6e5445fc8625de4fe25ac5b6b1ffe1', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",True,True,9.1.0,full_mirror_m1_b1_kv4096_uniform_tp4,True,npu:5,5,Ascend950PR_957b,1,,bfloat16,decode,False,256,"[16384, 256, 256, 1]",4096,tp4,uniform,1,262144,1,4096,28,1,6,56,64,1.0000001192092896,0.0,0.0,0.0,0.0,65,3.11.10,1.0,"[1536, 256, 1]",correctness,1,[4096],[1],1,20260829,float32,0.09119556747428784,PASS,,mirror,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,full_mirror_m1_b1_kv4096_uniform,f61e69339a0d3c4a3aa9f9c60d3ea84bc7687379
full,0.9999978542327881,0.0,0.00048828125,30.493364334106445,3.974202263634652e-05,0.0,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",True,4,f61e69339a0d3c4a3aa9f9c60d3ea84bc7687379,"[64, 1]",64,native_NHD_then_page_head_token_dim_permute,0.9999978542327881,0.0,0.00048828125,30.493364334106445,3.974202263634652e-05,0.0,"{'prefill': '3411d251e95d1cb4024969df9f5a7ce0bb6e5445fc8625de4fe25ac5b6b1ffe1', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",True,True,9.1.0,full_mirror_m4_b4_kv4096_uniform_tp4,True,npu:5,5,Ascend950PR_957b,1,,bfloat16,decode,False,256,"[16384, 256, 256, 1]",4096,tp4,uniform,4,262144,1,4096,28,1,6,56,64,0.9999999403953552,0.0,0.0,0.0,0.0,257,3.11.10,1.0,"[1536, 256, 1]",correctness,4,"[4096, 4096, 4096, 4096]","[1, 1, 1, 1]",1,20260829,float32,0.09119556747428784,PASS,,mirror,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,full_mirror_m4_b4_kv4096_uniform,f61e69339a0d3c4a3aa9f9c60d3ea84bc7687379
full,0.9999974370002747,0.0,0.0009765625,80.59293365478516,4.7158682718873024e-05,0.0,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",True,40,f61e69339a0d3c4a3aa9f9c60d3ea84bc7687379,"[64, 1]",64,native_NHD_then_page_head_token_dim_permute,0.9999974370002747,0.0,0.0009765625,80.59293365478516,4.7158682718873024e-05,0.0,"{'prefill': '3411d251e95d1cb4024969df9f5a7ce0bb6e5445fc8625de4fe25ac5b6b1ffe1', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",True,True,9.1.0,full_mirror_m40_b40_kv4096_uniform_tp4,True,npu:5,5,Ascend950PR_957b,1,,bfloat16,decode,False,256,"[16384, 256, 256, 1]",4096,tp4,uniform,40,262144,1,4096,28,1,6,56,64,1.0,0.0,0.0,0.0,0.0,2561,3.11.10,1.0,"[1536, 256, 1]",correctness,32,"[4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,20260829,float32,0.09119556747428784,PASS,,mirror,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,full_mirror_m40_b40_kv4096_uniform,f61e69339a0d3c4a3aa9f9c60d3ea84bc7687379
full,0.9999974370002747,0.0,0.0009765625,37.35114669799805,4.719723801827058e-05,0.0,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",True,56,f61e69339a0d3c4a3aa9f9c60d3ea84bc7687379,"[64, 1]",64,native_NHD_then_page_head_token_dim_permute,0.9999974370002747,0.0,0.0009765625,37.35114669799805,4.719723801827058e-05,0.0,"{'prefill': '3411d251e95d1cb4024969df9f5a7ce0bb6e5445fc8625de4fe25ac5b6b1ffe1', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",True,True,9.1.0,full_mirror_m56_b56_kv4096_uniform_tp4,True,npu:5,5,Ascend950PR_957b,1,,bfloat16,decode,False,256,"[16384, 256, 256, 1]",4096,tp4,uniform,56,262144,1,4096,28,1,6,56,64,1.0,0.0,0.0,0.0,0.0,3585,3.11.10,1.0,"[1536, 256, 1]",correctness,32,"[4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,20260829,float32,0.09119556747428784,PASS,,mirror,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,full_mirror_m56_b56_kv4096_uniform,f61e69339a0d3c4a3aa9f9c60d3ea84bc7687379
full,0.9999972581863403,0.7801339961588383,0.00048828125,5.387096881866455,4.7061825171113014e-05,0.0,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",True,1,f61e69339a0d3c4a3aa9f9c60d3ea84bc7687379,"[64, 1]",64,native_NHD_then_page_head_token_dim_permute,0.9999972581863403,0.2421247772872448,0.00048828125,5.387096881866455,4.7061825171113014e-05,0.0,"{'prefill': '3411d251e95d1cb4024969df9f5a7ce0bb6e5445fc8625de4fe25ac5b6b1ffe1', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",True,True,9.1.0,full_verify_d2_m2_b1_kv4096_uniform_tp4,True,npu:5,5,Ascend950PR_957b,1,2,bfloat16,prefill,False,256,"[16384, 256, 256, 1]",4096,tp4,uniform,2,,2,4096,28,1,6,56,64,1.0,0.0,0.0,0.0,0.0,65,3.11.10,1.0,"[1536, 256, 1]",correctness,2,[4096],[2],1,20260829,float32,0.09119556747428784,PASS,,verify_d2,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,full_verify_d2_m2_b1_kv4096_uniform,f61e69339a0d3c4a3aa9f9c60d3ea84bc7687379
full,0.9999972581863403,0.2610050141811371,0.0009765625,5.620689868927002,4.757256101584062e-05,0.0,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",True,4,f61e69339a0d3c4a3aa9f9c60d3ea84bc7687379,"[64, 1]",64,native_NHD_then_page_head_token_dim_permute,0.9999972581863403,0.2102656289935112,0.0009765625,5.620689868927002,4.757256101584062e-05,0.0,"{'prefill': '3411d251e95d1cb4024969df9f5a7ce0bb6e5445fc8625de4fe25ac5b6b1ffe1', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",True,True,9.1.0,full_verify_d2_m8_b4_kv4096_uniform_tp4,True,npu:5,5,Ascend950PR_957b,1,2,bfloat16,prefill,False,256,"[16384, 256, 256, 1]",4096,tp4,uniform,8,,2,4096,28,1,6,56,64,0.9999998807907104,0.0,0.0,0.0,0.0,257,3.11.10,1.0,"[1536, 256, 1]",correctness,8,"[4096, 4096, 4096, 4096]","[2, 2, 2, 2]",1,20260829,float32,0.09119556747428784,PASS,,verify_d2,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,full_verify_d2_m8_b4_kv4096_uniform,f61e69339a0d3c4a3aa9f9c60d3ea84bc7687379
full,0.9999973177909851,0.5178987048566341,0.0009765625,40.733333587646484,4.8182504542637616e-05,0.0,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",True,40,f61e69339a0d3c4a3aa9f9c60d3ea84bc7687379,"[64, 1]",64,native_NHD_then_page_head_token_dim_permute,0.9999973177909851,0.3965008072555065,0.0009765625,40.733333587646484,4.8182504542637616e-05,0.0,"{'prefill': '3411d251e95d1cb4024969df9f5a7ce0bb6e5445fc8625de4fe25ac5b6b1ffe1', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",True,True,9.1.0,full_verify_d2_m80_b40_kv4096_uniform_tp4,True,npu:5,5,Ascend950PR_957b,1,2,bfloat16,prefill,False,256,"[16384, 256, 256, 1]",4096,tp4,uniform,80,,2,4096,28,1,6,56,64,1.0,0.0,0.0,0.0,0.0,2561,3.11.10,1.0,"[1536, 256, 1]",correctness,32,"[4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1,20260829,float32,0.09119556747428784,PASS,,verify_d2,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,full_verify_d2_m80_b40_kv4096_uniform,f61e69339a0d3c4a3aa9f9c60d3ea84bc7687379
full,0.9999977946281433,0.656655989587307,0.001953125,62.94495391845703,4.741519660456106e-05,0.0,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",True,56,f61e69339a0d3c4a3aa9f9c60d3ea84bc7687379,"[64, 1]",64,native_NHD_then_page_head_token_dim_permute,0.9999977946281433,0.49432041123509407,0.001953125,62.94495391845703,4.741519660456106e-05,0.0,"{'prefill': '3411d251e95d1cb4024969df9f5a7ce0bb6e5445fc8625de4fe25ac5b6b1ffe1', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",True,True,9.1.0,full_verify_d2_m112_b56_kv4096_uniform_tp4,True,npu:5,5,Ascend950PR_957b,1,2,bfloat16,prefill,False,256,"[16384, 256, 256, 1]",4096,tp4,uniform,112,,2,4096,28,1,6,56,64,1.0000001192092896,0.0,0.0,0.0,0.0,3585,3.11.10,1.0,"[1536, 256, 1]",correctness,32,"[4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1,20260829,float32,0.09119556747428784,PASS,,verify_d2,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,full_verify_d2_m112_b56_kv4096_uniform,f61e69339a0d3c4a3aa9f9c60d3ea84bc7687379
full,0.999997615814209,0.25639403611421585,0.0009765625,3.4848484992980957,4.516327317105606e-05,0.0,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",True,1,f61e69339a0d3c4a3aa9f9c60d3ea84bc7687379,"[64, 1]",64,native_NHD_then_page_head_token_dim_permute,0.999997615814209,0.2299952320754528,0.0009765625,3.4848484992980957,4.516327317105606e-05,0.0,"{'prefill': '3411d251e95d1cb4024969df9f5a7ce0bb6e5445fc8625de4fe25ac5b6b1ffe1', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",True,True,9.1.0,full_verify_d3_m3_b1_kv4096_uniform_tp4,True,npu:5,5,Ascend950PR_957b,1,3,bfloat16,prefill,False,256,"[16384, 256, 256, 1]",4096,tp4,uniform,3,,3,4096,28,1,6,56,64,1.0,0.0,0.0,0.0,0.0,65,3.11.10,1.0,"[1536, 256, 1]",correctness,3,[4096],[3],1,20260829,float32,0.09119556747428784,PASS,,verify_d3,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,full_verify_d3_m3_b1_kv4096_uniform,f61e69339a0d3c4a3aa9f9c60d3ea84bc7687379
full,0.9999975562095642,0.2758149057626724,0.0009765625,8.938931465148926,4.666206586989574e-05,0.0,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",True,4,f61e69339a0d3c4a3aa9f9c60d3ea84bc7687379,"[64, 1]",64,native_NHD_then_page_head_token_dim_permute,0.9999975562095642,0.21073594689369202,0.0009765625,8.938931465148926,4.666206586989574e-05,0.0,"{'prefill': '3411d251e95d1cb4024969df9f5a7ce0bb6e5445fc8625de4fe25ac5b6b1ffe1', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",True,True,9.1.0,full_verify_d3_m12_b4_kv4096_uniform_tp4,True,npu:5,5,Ascend950PR_957b,1,3,bfloat16,prefill,False,256,"[16384, 256, 256, 1]",4096,tp4,uniform,12,,3,4096,28,1,6,56,64,0.9999998807907104,0.0,0.0,0.0,0.0,257,3.11.10,1.0,"[1536, 256, 1]",correctness,12,"[4096, 4096, 4096, 4096]","[3, 3, 3, 3]",1,20260829,float32,0.09119556747428784,PASS,,verify_d3,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,full_verify_d3_m12_b4_kv4096_uniform,f61e69339a0d3c4a3aa9f9c60d3ea84bc7687379
