attention,baseline_sha256,benchmark_base,block_table_stride,block_table_width,cache_layout,candidate_sha256,cann_version,capture_kv_lens,capture_q_lens,case,causal,device,device_index,device_name,draft_width,dtype,gqa_interleave,head_dim,host_prepare_submit_ms,kernel_name,kv_cache_stride,kv_length,length_pattern,m,max_q_len,min_runtime_kv_length,num_cube_cores,num_kv_heads,num_q_heads,num_vector_cores,page_size,physical_pages,provider,python_version,q_buffer_rows,q_stride,real_batch_size,record_type,runtime_kv_lens,runtime_q_lens,scheduled_batch_size,schema_version,seed,sink_dtype,softmax_scale,status,swa_left_window,table_width_mode,timing_authority,topology,torch_npu_version,torch_version,tp_size,triton_version,workspace_commit
full,c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec,6b5219f487b5b3ac57679a6a4387bc1d5d3a75f9,"[64, 1]",64,native_NHD_then_page_head_token_dim_permute,82f9e00dd9c169444330b20b411fdeeade867cd0d7fc3bfb55371c5c1a8d00fa,9.1.0,[4096],[2],full_verify_d2_m2_kv4096_uniform_compact_tp4,True,npu:5,5,Ascend950PR_957b,2,bfloat16,False,256,0.18419581465423107,paged_prefill_page_aggregation_kernel,"[16384, 256, 256, 1]",4096,uniform,2,2,4096,28,1,6,56,64,65,baseline,3.11.10,2,"[1536, 256, 1]",1,performance_shape_validation,[4096],[2],1,1,20260829,float32,0.09119556747428784,VALIDATED_FOR_MSPROF,,compact,msprof_op_task_duration_acceptance,verify_d2,2.10.0.post4.dev20260715,2.10.0+cpu,4,3.2.0,6b5219f487b5b3ac57679a6a4387bc1d5d3a75f9
full,c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec,6b5219f487b5b3ac57679a6a4387bc1d5d3a75f9,"[64, 1]",64,native_NHD_then_page_head_token_dim_permute,82f9e00dd9c169444330b20b411fdeeade867cd0d7fc3bfb55371c5c1a8d00fa,9.1.0,[4096],[2],full_verify_d2_m2_kv4096_uniform_compact_tp4,True,npu:5,5,Ascend950PR_957b,2,bfloat16,False,256,0.15469593927264214,paged_prefill_small_q_grouped_kernel,"[16384, 256, 256, 1]",4096,uniform,2,2,4096,28,1,6,56,64,65,candidate,3.11.10,2,"[1536, 256, 1]",1,performance_shape_validation,[4096],[2],1,1,20260829,float32,0.09119556747428784,VALIDATED_FOR_MSPROF,,compact,msprof_op_task_duration_acceptance,verify_d2,2.10.0.post4.dev20260715,2.10.0+cpu,4,3.2.0,6b5219f487b5b3ac57679a6a4387bc1d5d3a75f9
full,c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec,6b5219f487b5b3ac57679a6a4387bc1d5d3a75f9,"[64, 1]",64,native_NHD_then_page_head_token_dim_permute,82f9e00dd9c169444330b20b411fdeeade867cd0d7fc3bfb55371c5c1a8d00fa,9.1.0,"[4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",full_verify_d2_m96_kv4096_uniform_compact_tp4,True,npu:5,5,Ascend950PR_957b,2,bfloat16,False,256,0.5077801179140806,paged_prefill_page_aggregation_kernel,"[16384, 256, 256, 1]",4096,uniform,96,2,4096,28,1,6,56,64,3073,baseline,3.11.10,96,"[1536, 256, 1]",48,performance_shape_validation,"[4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",48,1,20260829,float32,0.09119556747428784,VALIDATED_FOR_MSPROF,,compact,msprof_op_task_duration_acceptance,verify_d2,2.10.0.post4.dev20260715,2.10.0+cpu,4,3.2.0,6b5219f487b5b3ac57679a6a4387bc1d5d3a75f9
full,c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec,6b5219f487b5b3ac57679a6a4387bc1d5d3a75f9,"[64, 1]",64,native_NHD_then_page_head_token_dim_permute,82f9e00dd9c169444330b20b411fdeeade867cd0d7fc3bfb55371c5c1a8d00fa,9.1.0,"[4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",full_verify_d2_m96_kv4096_uniform_compact_tp4,True,npu:5,5,Ascend950PR_957b,2,bfloat16,False,256,0.40577095933258533,paged_prefill_small_q_grouped_kernel,"[16384, 256, 256, 1]",4096,uniform,96,2,4096,28,1,6,56,64,3073,candidate,3.11.10,96,"[1536, 256, 1]",48,performance_shape_validation,"[4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",48,1,20260829,float32,0.09119556747428784,VALIDATED_FOR_MSPROF,,compact,msprof_op_task_duration_acceptance,verify_d2,2.10.0.post4.dev20260715,2.10.0+cpu,4,3.2.0,6b5219f487b5b3ac57679a6a4387bc1d5d3a75f9
full,c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec,6b5219f487b5b3ac57679a6a4387bc1d5d3a75f9,"[64, 1]",64,native_NHD_then_page_head_token_dim_permute,82f9e00dd9c169444330b20b411fdeeade867cd0d7fc3bfb55371c5c1a8d00fa,9.1.0,"[4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",full_verify_d3_m144_kv4096_uniform_compact_tp4,True,npu:5,5,Ascend950PR_957b,3,bfloat16,False,256,0.4911499563604593,paged_prefill_page_aggregation_kernel,"[16384, 256, 256, 1]",4096,uniform,144,3,4096,28,1,6,56,64,3073,baseline,3.11.10,144,"[1536, 256, 1]",48,performance_shape_validation,"[4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",48,1,20260829,float32,0.09119556747428784,VALIDATED_FOR_MSPROF,,compact,msprof_op_task_duration_acceptance,verify_d3,2.10.0.post4.dev20260715,2.10.0+cpu,4,3.2.0,6b5219f487b5b3ac57679a6a4387bc1d5d3a75f9
full,c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec,6b5219f487b5b3ac57679a6a4387bc1d5d3a75f9,"[64, 1]",64,native_NHD_then_page_head_token_dim_permute,82f9e00dd9c169444330b20b411fdeeade867cd0d7fc3bfb55371c5c1a8d00fa,9.1.0,"[4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",full_verify_d3_m144_kv4096_uniform_compact_tp4,True,npu:5,5,Ascend950PR_957b,3,bfloat16,False,256,0.3887210041284561,paged_prefill_small_q_grouped_kernel,"[16384, 256, 256, 1]",4096,uniform,144,3,4096,28,1,6,56,64,3073,candidate,3.11.10,144,"[1536, 256, 1]",48,performance_shape_validation,"[4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",48,1,20260829,float32,0.09119556747428784,VALIDATED_FOR_MSPROF,,compact,msprof_op_task_duration_acceptance,verify_d3,2.10.0.post4.dev20260715,2.10.0+cpu,4,3.2.0,6b5219f487b5b3ac57679a6a4387bc1d5d3a75f9
full,c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec,6b5219f487b5b3ac57679a6a4387bc1d5d3a75f9,"[64, 1]",64,native_NHD_then_page_head_token_dim_permute,82f9e00dd9c169444330b20b411fdeeade867cd0d7fc3bfb55371c5c1a8d00fa,9.1.0,"[4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",full_verify_d2_m112_kv4096_uniform_compact_tp4,True,npu:5,5,Ascend950PR_957b,2,bfloat16,False,256,0.5506889428943396,paged_prefill_page_aggregation_kernel,"[16384, 256, 256, 1]",4096,uniform,112,2,4096,28,1,6,56,64,3585,baseline,3.11.10,112,"[1536, 256, 1]",56,performance_shape_validation,"[4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",56,1,20260829,float32,0.09119556747428784,VALIDATED_FOR_MSPROF,,compact,msprof_op_task_duration_acceptance,verify_d2,2.10.0.post4.dev20260715,2.10.0+cpu,4,3.2.0,6b5219f487b5b3ac57679a6a4387bc1d5d3a75f9
full,c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec,6b5219f487b5b3ac57679a6a4387bc1d5d3a75f9,"[64, 1]",64,native_NHD_then_page_head_token_dim_permute,82f9e00dd9c169444330b20b411fdeeade867cd0d7fc3bfb55371c5c1a8d00fa,9.1.0,"[4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",full_verify_d2_m112_kv4096_uniform_compact_tp4,True,npu:5,5,Ascend950PR_957b,2,bfloat16,False,256,0.4210521001368761,paged_prefill_small_q_grouped_kernel,"[16384, 256, 256, 1]",4096,uniform,112,2,4096,28,1,6,56,64,3585,candidate,3.11.10,112,"[1536, 256, 1]",56,performance_shape_validation,"[4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",56,1,20260829,float32,0.09119556747428784,VALIDATED_FOR_MSPROF,,compact,msprof_op_task_duration_acceptance,verify_d2,2.10.0.post4.dev20260715,2.10.0+cpu,4,3.2.0,6b5219f487b5b3ac57679a6a4387bc1d5d3a75f9
full,c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec,6b5219f487b5b3ac57679a6a4387bc1d5d3a75f9,"[64, 1]",64,native_NHD_then_page_head_token_dim_permute,82f9e00dd9c169444330b20b411fdeeade867cd0d7fc3bfb55371c5c1a8d00fa,9.1.0,"[4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",full_verify_d3_m168_kv4096_uniform_compact_tp4,True,npu:5,5,Ascend950PR_957b,3,bfloat16,False,256,0.5427789874374866,paged_prefill_page_aggregation_kernel,"[16384, 256, 256, 1]",4096,uniform,168,3,4096,28,1,6,56,64,3585,baseline,3.11.10,168,"[1536, 256, 1]",56,performance_shape_validation,"[4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",56,1,20260829,float32,0.09119556747428784,VALIDATED_FOR_MSPROF,,compact,msprof_op_task_duration_acceptance,verify_d3,2.10.0.post4.dev20260715,2.10.0+cpu,4,3.2.0,6b5219f487b5b3ac57679a6a4387bc1d5d3a75f9
full,c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec,6b5219f487b5b3ac57679a6a4387bc1d5d3a75f9,"[64, 1]",64,native_NHD_then_page_head_token_dim_permute,82f9e00dd9c169444330b20b411fdeeade867cd0d7fc3bfb55371c5c1a8d00fa,9.1.0,"[4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",full_verify_d3_m168_kv4096_uniform_compact_tp4,True,npu:5,5,Ascend950PR_957b,3,bfloat16,False,256,0.43881102465093136,paged_prefill_small_q_grouped_kernel,"[16384, 256, 256, 1]",4096,uniform,168,3,4096,28,1,6,56,64,3585,candidate,3.11.10,168,"[1536, 256, 1]",56,performance_shape_validation,"[4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",56,1,20260829,float32,0.09119556747428784,VALIDATED_FOR_MSPROF,,compact,msprof_op_task_duration_acceptance,verify_d3,2.10.0.post4.dev20260715,2.10.0+cpu,4,3.2.0,6b5219f487b5b3ac57679a6a4387bc1d5d3a75f9
