case,workload_id,family,topology,dp_attention_size,context_length,speculative_width,n,batch_size,q_rows,local_q_heads,local_kv_heads,rotated_values,record_type,status,artifact,uncompressed_size_bytes
contiguous_prefill_n640_b0_ctx640_tp4_dp2,contiguous_prefill_n640_b0_ctx640,contiguous_prefill,tp4_dp2,2,640,1,640,0,640,12,1,532480,compiler_ir,CAPTURED,ir/tp4_dp2/contiguous_prefill_n640_b0_ctx640_tp4_dp2/01__welmv4_inplace_rope_head_parallel_prefill_kernel_npu_last_pass.mlir.gz,82927
contiguous_prefill_n640_b0_ctx640_tp4_dp2,contiguous_prefill_n640_b0_ctx640,contiguous_prefill,tp4_dp2,2,640,1,640,0,640,12,1,532480,compiler_ir,CAPTURED,ir/tp4_dp2/contiguous_prefill_n640_b0_ctx640_tp4_dp2/01__welmv4_inplace_rope_head_parallel_prefill_kernel_npu_ttadapter.mlir.gz,15660
contiguous_prefill_n640_b0_ctx640_tp4_dp2,contiguous_prefill_n640_b0_ctx640,contiguous_prefill,tp4_dp2,2,640,1,640,0,640,12,1,532480,compiler_ir,CAPTURED,ir/tp4_dp2/contiguous_prefill_n640_b0_ctx640_tp4_dp2/01__welmv4_inplace_rope_head_parallel_prefill_kernel_npu_ttir.mlir.gz,18308
contiguous_prefill_n640_b0_ctx640_tp4_dp4,contiguous_prefill_n640_b0_ctx640,contiguous_prefill,tp4_dp4,4,640,1,640,0,640,24,2,1064960,compiler_ir,CAPTURED,ir/tp4_dp4/contiguous_prefill_n640_b0_ctx640_tp4_dp4/01__welmv4_inplace_rope_head_parallel_prefill_kernel_npu_last_pass.mlir.gz,83057
contiguous_prefill_n640_b0_ctx640_tp4_dp4,contiguous_prefill_n640_b0_ctx640,contiguous_prefill,tp4_dp4,4,640,1,640,0,640,24,2,1064960,compiler_ir,CAPTURED,ir/tp4_dp4/contiguous_prefill_n640_b0_ctx640_tp4_dp4/01__welmv4_inplace_rope_head_parallel_prefill_kernel_npu_ttadapter.mlir.gz,15712
contiguous_prefill_n640_b0_ctx640_tp4_dp4,contiguous_prefill_n640_b0_ctx640,contiguous_prefill,tp4_dp4,4,640,1,640,0,640,24,2,1064960,compiler_ir,CAPTURED,ir/tp4_dp4/contiguous_prefill_n640_b0_ctx640_tp4_dp4/01__welmv4_inplace_rope_head_parallel_prefill_kernel_npu_ttir.mlir.gz,18360
contiguous_prefill_n641_b0_ctx641_tp4_dp2,contiguous_prefill_n641_b0_ctx641,contiguous_prefill,tp4_dp2,2,641,1,641,0,641,12,1,533312,compiler_ir,CAPTURED,ir/tp4_dp2/contiguous_prefill_n641_b0_ctx641_tp4_dp2/01__welmv4_inplace_rope_contiguous_prefill_kernel_npu_last_pass.mlir.gz,87704
contiguous_prefill_n641_b0_ctx641_tp4_dp2,contiguous_prefill_n641_b0_ctx641,contiguous_prefill,tp4_dp2,2,641,1,641,0,641,12,1,533312,compiler_ir,CAPTURED,ir/tp4_dp2/contiguous_prefill_n641_b0_ctx641_tp4_dp2/01__welmv4_inplace_rope_contiguous_prefill_kernel_npu_ttadapter.mlir.gz,17668
contiguous_prefill_n641_b0_ctx641_tp4_dp2,contiguous_prefill_n641_b0_ctx641,contiguous_prefill,tp4_dp2,2,641,1,641,0,641,12,1,533312,compiler_ir,CAPTURED,ir/tp4_dp2/contiguous_prefill_n641_b0_ctx641_tp4_dp2/01__welmv4_inplace_rope_contiguous_prefill_kernel_npu_ttir.mlir.gz,17417
contiguous_prefill_n641_b0_ctx641_tp4_dp4,contiguous_prefill_n641_b0_ctx641,contiguous_prefill,tp4_dp4,4,641,1,641,0,641,24,2,1066624,compiler_ir,CAPTURED,ir/tp4_dp4/contiguous_prefill_n641_b0_ctx641_tp4_dp4/01__welmv4_inplace_rope_contiguous_prefill_kernel_npu_last_pass.mlir.gz,89311
